部数\\頁数, 12, 14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184
400,54600,57300,60000,62700,65400,68100,70800,73400,76100,78800,81500,84200,86900,89600,92300,95000,97700,100400,103100,105800,108500,111200,113800,116500,119200,121900,124600,127300,130000,132700,135400,138100,140800,143500,146200,148900,151600,154200,156900,159600,162300,165000,167700,170400,173100,175800,178500,181200,183900,186600,189300,191900,194600,197300,200000,202700,205400,208100,210800,213500,216200,218900,221600,224300,227000,229700,232300,235000,237700,240400,243100,245800,248500,251200,253900,256600,259300,262000,264700,267400,270100,272700,275400,278100,280800,283500,286200
450,58600,61400,64200,67000,69800,72600,75400,78200,81000,83800,86600,89400,92200,95000,97800,100600,103300,106100,108900,111700,114500,117300,120100,122900,125700,128500,131300,134100,136900,139700,142500,145300,148100,150900,153700,156500,159300,162100,164900,167700,170500,173300,176100,178900,181700,184500,187300,190100,192900,195700,198500,201300,204100,206900,209700,212500,215300,218100,220900,223700,226500,229300,232100,234900,237700,240500,243200,246000,248800,251600,254400,257200,260000,262800,265600,268400,271200,274000,276800,279600,282400,285200,288000,290800,293600,296400,299200
500,62600,65500,68400,71300,74200,77100,80000,82900,85800,88700,91600,94500,97400,100300,103200,106100,109000,111900,114800,117700,120600,123500,126400,129300,132200,135100,138000,140900,143800,146700,149600,152600,155500,158400,161300,164200,167100,170000,172900,175800,178700,181600,184500,187400,190300,193200,196100,199000,201900,204800,207700,210600,213500,216400,219300,222200,225100,228000,230900,233800,236700,239600,242500,245400,248300,251200,254100,257100,260000,262900,265800,268700,271600,274500,277400,280300,283200,286100,289000,291900,294800,297700,300600,303500,306400,309300,312200
600,70500,73700,76800,79900,83000,86100,89200,92300,95400,98600,101700,104800,107900,111000,114100,117200,120300,123400,126600,129700,132800,135900,139000,142100,145200,148300,151500,154600,157700,160800,163900,167000,170100,173200,176400,179500,182600,185700,188800,191900,195000,198100,201300,204400,207500,210600,213700,216800,219900,223000,226200,229300,232400,235500,238600,241700,244800,247900,251000,254200,257300,260400,263500,266600,269700,272800,275900,279100,282200,285300,288400,291500,294600,297700,300800,304000,307100,310200,313300,316400,319500,322600,325700,328900,332000,335100,338200
700,78500,81800,85200,88500,91800,95100,98400,101800,105100,108400,111700,115100,118400,121700,125000,128300,131700,135000,138300,141600,144900,148300,151600,154900,158200,161600,164900,168200,171500,174800,178200,181500,184800,188100,191500,194800,198100,201400,204700,208100,211400,214700,218000,221300,224700,228000,231300,234600,238000,241300,244600,247900,251200,254600,257900,261200,264500,267900,271200,274500,277800,281100,284500,287800,291100,294400,297700,301100,304400,307700,311000,314400,317700,321000,324300,327600,331000,334300,337600,340900,344300,347600,350900,354200,357500,360900,364200
800,86500,90000,93600,97100,100600,104100,107700,111200,114700,118300,121800,125300,128900,132400,135900,139500,143000,146500,150100,153600,157100,160600,164200,167700,171200,174800,178300,181800,185400,188900,192400,196000,199500,203000,206500,210100,213600,217100,220700,224200,227700,231300,234800,238300,241900,245400,248900,252500,256000,259500,263000,266600,270100,273600,277200,280700,284200,287800,291300,294800,298400,301900,305400,309000,312500,316000,319500,323100,326600,330100,333700,337200,340700,344300,347800,351300,354900,358400,361900,365500,369000,372500,376000,379600,383100,386600,390200
900,94500,98200,101900,105700,109400,113200,116900,120600,124400,128100,131900,135600,139400,143100,146800,150600,154300,158100,161800,165500,169300,173000,176800,180500,184200,188000,191700,195500,199200,202900,206700,210400,214200,217900,221600,225400,229100,232900,236600,240300,244100,247800,251600,255300,259100,262800,266500,270300,274000,277800,281500,285200,289000,292700,296500,300200,303900,307700,311400,315200,318900,322600,326400,330100,333900,337600,341300,345100,348800,352600,356300,360000,363800,367500,371300,375000,378800,382500,386200,390000,393700,397500,401200,404900,408700,412400,416200
1000,102400,106400,110300,114300,118200,122200,126100,130100,134000,138000,141900,145900,149800,153800,157700,161700,165600,169600,173500,177500,181400,185400,189300,193300,197200,201200,205100,209100,213000,217000,220900,224900,228800,232800,236700,240700,244600,248600,252500,256500,260400,264400,268300,272300,276200,280200,284100,288100,292000,296000,299900,303900,307800,311800,315700,319700,323600,327600,331500,335500,339400,343400,347300,351300,355200,359200,363100,367100,371000,375000,378900,382900,386800,390800,394700,398700,402600,406600,410500,414500,418400,422400,426300,430300,434200,438200,442100
1100,110400,114600,118700,122900,127100,131200,135400,139500,143700,147800,152000,156200,160300,164500,168600,172800,177000,181100,185300,189400,193600,197800,201900,206100,210200,214400,218600,222700,226900,231000,235200,239400,243500,247700,251800,256000,260200,264300,268500,272600,276800,281000,285100,289300,293400,297600,301800,305900,310100,314200,318400,322600,326700,330900,335000,339200,343300,347500,351700,355800,360000,364100,368300,372500,376600,380800,384900,389100,393300,397400,401600,405700,409900,414100,418200,422400,426500,430700,434900,439000,443200,447300,451500,455700,459800,464000,468100
1200,118400,122800,127100,131500,135900,140200,144600,149000,153300,157700,162100,166400,170800,175200,179600,183900,188300,192700,197000,201400,205800,210100,214500,218900,223200,227600,232000,236400,240700,245100,249500,253800,258200,262600,266900,271300,275700,280000,284400,288800,293100,297500,301900,306300,310600,315000,319400,323700,328100,332500,336800,341200,345600,349900,354300,358700,363100,367400,371800,376200,380500,384900,389300,393600,398000,402400,406700,411100,415500,419900,424200,428600,433000,437300,441700,446100,450400,454800,459200,463500,467900,472300,476600,481000,485400,489800,494100
